,Time,Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production,Electric_demand
111,2019-01-01-T09:15,1,1,49.8,850.6,322.4,3.84,33.77,6.62,7447,1964,20335
112,2019-01-01-T09:20,1,1,59.4,772.6,323,3.84,33.366,6.8,7589,1950,20267
113,2019-01-01-T09:25,1,1,60.2,785,335.4,3.86,32.99,6.96,7719,1940,20216
114,2019-01-01-T09:30,1,1,52.4,875.8,359.2,3.88,32.596,7.14,7823,1902,20153
115,2019-01-01-T09:35,1,1,56,872,370.6,3.86,32.012,7.3,7929,1896,20126
116,2019-01-01-T09:40,1,1,66.6,795.8,368,3.86,31.668,7.46,8014,1869,20051
117,2019-01-01-T09:45,1,1,66.8,809.4,380.2,3.86,31.32,7.62,8073,1811,19957
118,2019-01-01-T09:50,1,1,69.2,805.8,388.4,3.9,30.964,7.78,8130,1766,19882
119,2019-01-01-T09:55,1,1,67.6,830,401.8,3.88,30.608,7.96,8214,1760,19824
120,2019-01-01-T10:00,1,1,68.6,836.8,412,3.92,30.236,8.14,8232,1766,19767
121,2019-01-01-T10:05,1,1,67.8,851.2,423.2,3.88,30.046,8.22,8247,1764,19763
122,2019-01-01-T10:10,1,1,71.2,842.4,429.8,3.9,29.728,8.38,8256,1777,19748
123,2019-01-01-T10:15,1,1,72.2,843.4,437.8,3.86,29.486,8.5,8262,1808,19704
124,2019-01-01-T10:20,1,1,70.6,863.2,449,3.86,29.262,8.62,8268,1831,19633
125,2019-01-01-T10:25,1,1,72.6,859.2,456,3.82,28.96,8.76,8257,1863,19585
126,2019-01-01-T10:30,1,1,73,865.2,463.8,3.82,28.74,8.88,8253,1885,19541
127,2019-01-01-T10:35,1,1,74.8,863.2,470.2,3.82,28.584,9,8250,1905,19496
128,2019-01-01-T10:40,1,1,63,935.6,490.8,3.8,28.33,9.14,8272,1939,19435
129,2019-01-01-T10:45,1,1,63.2,938.2,497.8,3.8,28.144,9.24,8258,1979,19384
130,2019-01-01-T10:50,1,1,64,941,504,3.8,27.894,9.38,8245,2017,19316
131,2019-01-01-T10:55,1,1,64,943.8,509.8,3.78,27.668,9.48,8236,2019,19228
132,2019-01-01-T11:00,1,1,64.2,946,515.4,3.78,27.446,9.6,8230,2095,19230
133,2019-01-01-T11:05,1,1,64.4,948.2,520.4,3.76,27.292,9.68,8214,2135,19156
134,2019-01-01-T11:10,1,1,65.8,931.4,517.2,3.78,27.132,9.78,8197,2089,19108
135,2019-01-01-T11:15,1,1,64.8,952,529.2,3.8,27.006,9.84,8179,2064,19034
136,2019-01-01-T11:20,1,1,65.2,953.6,533,3.76,26.828,9.94,8155,2054,18985
137,2019-01-01-T11:25,1,1,65.4,955,536.2,3.76,26.744,10,8154,2002,18979
138,2019-01-01-T11:30,1,1,72.4,915.8,529.2,3.78,26.62,10.06,8154,1952,18929
139,2019-01-01-T11:35,1,1,78.8,893,527,3.76,26.84,10.16,8155,1935,18871
140,2019-01-01-T11:40,1,1,77.8,898,529.6,3.78,26.748,10.22,8146,1933,18828
141,2019-01-01-T11:45,1,1,78,898.4,531.2,3.78,26.574,10.32,8136,1915,18819
142,2019-01-01-T11:50,1,1,81.6,884,529.4,3.76,26.43,10.4,8127,1893,18760
143,2019-01-01-T11:55,1,1,84.4,872.4,527.2,3.78,26.376,10.44,8131,1866,18724
144,2019-01-01-T12:00,1,1,83.8,874,527.6,3.78,26.226,10.52,8135,1847,18705
145,2019-01-01-T12:05,1,1,81.4,885.8,529.8,3.76,26.17,10.56,8135,1845,18688
146,2019-01-01-T12:10,1,1,77.4,901.4,532.6,3.78,26.086,10.6,8140,1835,18647
147,2019-01-01-T12:15,1,1,81.6,884,528.2,3.78,26.03,10.64,8137,1830,18633
148,2019-01-01-T12:20,1,1,83,878,525.8,3.8,26.03,10.64,8136,1803,18594
149,2019-01-01-T12:25,1,1,87.4,854.4,518.2,3.78,25.976,10.68,8146,1775,18602
150,2019-01-01-T12:30,1,1,83.8,870.6,520,3.8,25.86,10.74,8148,1713,18574
151,2019-01-01-T12:35,1,1,88,855,514.4,3.78,26.612,10.74,8093,1657,18569
152,2019-01-01-T12:40,1,1,89.6,844,509.2,3.8,26.534,10.8,8102,1595,18534
153,2019-01-01-T12:45,1,1,82.4,873.6,511.8,3.78,26.464,10.82,8092,1598,18545
154,2019-01-01-T12:50,1,1,85,858.2,505,3.82,26.426,10.84,8136,1617,18546
155,2019-01-01-T12:55,1,1,78.6,881,505.6,3.82,26.384,10.88,8230,1599,18539
156,2019-01-01-T13:00,1,1,66.8,937,514,3.82,26.32,10.92,8250,1617,18523
157,2019-01-01-T13:05,1,1,66.6,934.8,509,3.8,26.352,10.9,8210,1599,18536
158,2019-01-01-T13:10,1,1,66.8,914.8,495.8,3.8,26.384,10.88,8267,1587,18528
159,2019-01-01-T13:15,1,1,66,915.6,490.4,3.82,26.384,10.88,8213,1571,18573
160,2019-01-01-T13:20,1,1,96.8,768.4,453,3.82,26.406,10.86,8225,1514,18574
161,2019-01-01-T13:25,1,1,65.2,922.4,483,3.8,26.406,10.86,8167,1410,18598
162,2019-01-01-T13:30,1,1,64.8,919.6,475.6,3.76,26.44,10.84,8237,1338,18602
163,2019-01-01-T13:35,1,1,64.4,915,467.4,3.78,27.566,10.82,8317,1289,18632
164,2019-01-01-T13:40,1,1,64.2,911.2,459.6,3.76,27.566,10.82,8328,1279,18663
